Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,Date
2022-10-18,1.9509100842185005,1.2261263507937077,1.472513762978911,0.633044276854025,1.5230663341093917,2.001644940765287,7.676405045470433,2022-10-18
2022-10-19,1.9524024710417238,1.212533156338745,1.4558554171680236,0.635093952726028,1.5101663045120333,2.015694957534837,7.74090061246745,2022-10-19
2022-10-20,1.9460243639703136,1.2144298830160332,1.460823762484359,0.6269902416970311,1.5080590601654371,2.039614299552144,7.2263282202284245,2022-10-20
2022-10-21,1.9986815710896617,1.2573169047362993,1.4777742520125003,0.6197445294273641,1.5461834236082608,2.085109318225383,7.475944858713312,2022-10-21
2022-10-24,2.028267636242461,1.2625855810183644,1.4980857929089282,0.6183621372470908,1.5789439375871905,2.1073559365524215,7.364732948250709,2022-10-24
2022-10-25,2.0674895848207955,1.2708047031554068,1.5267266186003892,0.6554961570767848,1.6007202886409222,2.2180843050504486,7.754148586341746,2022-10-25
2022-10-26,2.026910386808742,1.218750236156264,1.3871760208973931,0.6188388519011342,1.4772146118994105,2.157032924123315,7.831543692307517,2022-10-26
2022-10-27,1.9651601540692123,1.1692246308686791,1.3475759456180776,0.4668701204104258,1.4480303624711053,2.203866473027131,7.847231774443998,2022-10-27
2022-10-28,2.1136327081165613,1.0896676672456662,1.4070492902731455,0.4728764037855626,1.5062709776503107,2.3139264546057743,7.966810910294844,2022-10-28
2022-10-31,2.081061029954648,1.0794464223954805,1.381038765043274,0.4440843427894517,1.4823872827296114,2.2575585722738065,7.93264513893078,2022-10-31
2022-11-01,2.044553580243751,1.0199103643294196,1.3220038037984712,0.45380880332574364,1.4570985592037717,2.2652530054458526,7.942407167864574,2022-11-01
2022-11-02,1.9682815339898319,0.9707009471493993,1.270859632048847,0.4315950248776561,1.4055633280965698,2.2110590571577,7.494770450884749,2022-11-02
2022-11-03,1.8848163595141372,0.9409856161342962,1.2191310609751256,0.42382499220200254,1.3682050724737187,2.244846447046903,7.506275186307952,2022-11-03
2022-11-04,1.8811464560901565,0.9586883716577801,1.2651606477154036,0.43278673849780774,1.4138012263696327,2.3677852514023394,7.232952207165571,2022-11-04
2022-11-07,1.8884866826194517,0.9539465147677493,1.293070722500167,0.46105444258045364,1.4551826925316114,2.3920386272073557,6.870729386634217,2022-11-07
2022-11-08,1.8963714456794367,0.9481510190936495,1.2990619624404538,0.459862728960302,1.4615686162110308,2.442384959729529,6.669223363198777,2022-11-08
2022-11-09,1.8334307868363995,0.9076875434427062,1.2759739932790148,0.48369725691568455,1.433725801870464,2.304225104283768,6.191256318624311,2022-11-09
2022-11-10,1.9965594524249746,1.0182243493302208,1.3727094802482414,0.5332730254127096,1.551675654351417,2.634403771643837,6.649002967481787,2022-11-10
2022-11-11,2.035031010778359,1.0620597745859408,1.4088028239142054,0.538754915366903,1.5780498465694415,2.730914627462512,6.832031833651332,2022-11-11
2022-11-14,2.0157271383052473,1.0378238315309927,1.3984276379816807,0.5444751991555965,1.5425437645809768,2.7255621032600317,6.657021226002799,2022-11-14
2022-11-15,2.039652961308212,1.0425656884210235,1.4384663204504395,0.5581085519206437,1.5452257390731092,2.7876176612860677,6.777994633437508,2022-11-15
